City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
86,busselton,48,AU,1542074796,95,-33.64,115.35,65.65,9.64
87,nikolskoye,90,RU,1542072600,94,59.7,30.79,33.8,8.95
88,sitka,0,US,1542074798,74,37.17,-99.65,19.03,10.98
89,nuuk,0,GL,1542070200,79,64.17,-51.74,23.0,6.93
90,avarua,75,CK,1542070800,69,-21.21,-159.78,82.4,8.05
91,yakeshi,0,CN,1542074799,54,49.28,120.73,32.4,6.4
92,kaeo,44,NZ,1542074800,40,-35.1,173.78,73.44,8.41
93,saint george,0,GR,1542070200,81,39.45,22.34,48.2,3.27
94,butaritari,8,KI,1542074801,100,3.07,172.79,85.63,10.98
95,harper,90,US,1542074100,80,30.3,-99.24,37.4,18.34
96,longyearbyen,20,NO,1542070200,62,78.22,15.63,21.2,6.93
97,panji,0,CN,1542074802,72,32.78,116.82,62.05,6.51
98,road town,1,VG,1542070380,79,18.42,-64.62,82.04,8.05
99,victoria,75,BN,1542072600,79,5.28,115.24,86.0,2.24
100,kapaa,1,US,1542070560,54,22.08,-159.32,84.02,12.75
101,codrington,76,AU,1542074804,88,-28.95,153.24,66.91,5.73
102,blythe,1,US,1542070320,9,33.61,-114.59,64.94,14.99
103,hilo,20,US,1542070560,56,19.71,-155.08,80.96,8.05
104,guanica,75,PR,1542070200,100,17.97,-66.91,78.8,13.87
105,phibun mangsahan,12,TH,1542070800,78,15.24,105.23,78.8,5.82
106,zabol,0,IR,1542074806,89,31.03,61.49,55.12,20.27
107,imbituba,40,BR,1542070800,83,-28.24,-48.67,75.2,6.93
108,zuenoula,0,CI,1542074807,95,7.43,-6.04,72.72,5.73
109,faya,0,SA,1542070800,76,18.39,42.45,57.2,2.26
110,kapit,36,MY,1542074808,85,2.02,112.94,81.45,2.71
111,laibin,80,CN,1542074808,100,23.74,109.23,62.95,5.61
112,pevek,0,RU,1542074809,100,69.7,170.27,-4.55,4.05
113,tornio,90,FI,1542072000,100,61.12,27.27,39.2,9.17
114,marawi,92,PH,1542074810,99,8.0,124.29,75.15,2.26
115,maragogi,92,BR,1542074810,94,-9.01,-35.22,75.87,5.17
116,tuktoyaktuk,40,CA,1542070800,84,69.44,-133.03,-2.21,12.75
117,brae,92,GB,1542072000,87,60.4,-1.35,50.0,12.75
118,tabou,44,CI,1542074811,100,4.42,-7.36,81.72,2.82
119,ahuimanu,20,US,1542071040,66,21.44,-157.84,82.94,8.05
120,port alfred,0,ZA,1542074812,85,-33.59,26.89,68.85,5.95
121,kendari,8,ID,1542074813,44,-3.99,122.52,92.65,4.05
122,meulaboh,92,ID,1542074813,100,4.14,96.13,74.56,7.96
123,chuy,76,UY,1542074814,89,-33.69,-53.46,70.51,23.06
124,skibbereen,20,IE,1542072600,93,51.55,-9.27,41.0,6.93
125,college,90,US,1542070680,84,64.86,-147.8,26.96,4.94
126,rio gallegos,75,AR,1542070800,43,-51.62,-69.22,55.4,9.17
127,tuy hoa,100,VN,1542074815,100,13.08,109.3,76.32,5.28
128,port hardy,90,CA,1542070800,61,50.7,-127.42,48.2,14.99
129,mawlaik,48,MM,1542074604,77,23.63,94.42,74.47,2.15
130,severo-kurilsk,80,RU,1542074818,94,50.68,156.12,41.98,13.0
131,la libertad,0,PE,1542070800,54,-16.38,-71.56,55.4,2.24
132,paamiut,48,GL,1542074818,87,61.99,-49.67,37.89,5.61
133,bambous virieux,40,MU,1542074400,88,-20.34,57.76,75.2,8.05
134,ponta do sol,64,BR,1542074820,90,-20.63,-46.0,65.92,6.73
135,gorontalo,64,ID,1542074820,78,0.54,123.06,83.11,2.15
136,cabo san lucas,5,MX,1542070320,73,22.89,-109.91,75.2,4.7
137,flin flon,0,CA,1542074821,100,54.77,-101.88,5.4,3.15
138,bondo,8,CD,1542074822,80,3.81,23.69,73.35,2.15
139,payakumbuh,12,ID,1542074822,76,-0.23,100.63,83.74,2.59
140,ziway,0,ET,1542074823,100,7.93,38.72,38.7,3.04
141,sinnamary,80,GF,1542074823,97,5.38,-52.96,80.37,9.64
142,kayerkan,0,RU,1542074823,53,69.35,87.76,-31.28,5.39
143,noumea,48,NC,1542072600,58,-22.28,166.46,82.4,16.11
144,kamaishi,20,JP,1542070800,71,39.28,141.86,51.8,3.36
145,suez,0,EG,1542074825,87,29.97,32.54,50.62,2.71
146,nuevo progreso,75,US,1542073980,80,26.05,-97.95,57.2,18.34
147,new norfolk,75,AU,1542072600,22,-42.78,147.06,78.8,16.11
